Model and feature tuning leaderboard (score_f_name=LOGLOSS):
+-------------+--------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+---------------------------------------------------------------+----------------------------+----------------+----------+----------+-------------+---------------+-----------------+----------------+-------------+--------------+--------------------+----------------+----------+-------------+---------------+---------------------+-----------------------+--------------------+---------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+--------------------+--------------+---------------------+----------+--------+
|   job order | job status   | booster   | boosting_type   |   colsample_bytree | debug_verbose   |   early_stopping_rounds | early_stopping_threshold   | eval_metric   |   gamma |   gpu_id | grow_policy   |   learning_rate |   max_bin |   max_delta_step |   max_depth |   max_leaves | min_child_samples   |   min_child_weight | min_data_in_bin   | model_origin                                                  | monotonicity_constraints   |   n_estimators |   n_gpus |   n_jobs |   num_class |   num_classes | objective       |   random_state |   reg_alpha |   reg_lambda |   scale_pos_weight | score_f_name   | silent   |   subsample | tree_method   | scores              | scores_sd             | training_times     | rel_time            |   best_iterations |   rel_best_iterations |   ngenes_start |   ngenes_max | ngenes   |   nfeatures_max |   nfeatures | rel_scores         |   complexity | z-score             | isbest   | good   |
|-------------+--------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+---------------------------------------------------------------+----------------------------+----------------+----------+----------+-------------+---------------+-----------------+----------------+-------------+--------------+--------------------+----------------+----------+-------------+---------------+---------------------+-----------------------+--------------------+---------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+--------------------+--------------+---------------------+----------+--------|
|           9 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4319276984505356  | 0.006318706292380089  | 1.090522289276123  | 0.5724192693553621  |                44 |              0.814815 |             22 |        22488 | 22.0     |           22488 |          22 | 1.0000000000000013 |     1580.74  | 0.0                 |          | +      |
|           1 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False  | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4323938818795607  | 0.005436953519659035  | 1.9051110744476318 | 0.9999999999999994  |                48 |              0.888889 |             22 |    100000000 | 22.0     |       100000000 |          22 | 0.9989218547057184 |     1724.44  | 0.07377830325603398 |          | +      |
|          12 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43283358059711746 | 0.0060774292402352706 | 0.5691583156585693 | 0.2987533500237464  |                29 |              0.537037 |             22 |    100000000 | 36.0     |       100000000 |          36 | 0.997907089035625  |     1704.84  | 0.14336512961113074 |          | +      |
|          15 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4330324635736646  | 0.005651275081606552  | 1.024472713470459  | 0.5377495974965628  |                38 |              0.703704 |             22 |        22488 | 38.0     |           22488 |          38 | 0.9974487706671892 |     2358.04  | 0.17484039801962437 |          | +      |
|          18 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4332084576783703  | 0.005804643450976926  | 1.1332182884216309 | 0.5948305606014052  |                54 |              1        |             22 |        22488 | 57.0     |           22488 |          57 | 0.997043549808104  |     5026.35  | 0.20269326798414694 |          | +      |
|          20 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | SEQUENCE                                                      | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4339314930245281  | 0.0075563157281508956 | 1.0124304294586182 | 0.5314285571260782  |                30 |              0.555556 |             31 |    100000000 | 94.0     |       100000000 |         110 | 0.9953822328957379 |     4605.04  | 0.31712101833387    |          | +      |
|          14 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43397044605473045 | 0.005674707705789027  | 1.0935649871826172 | 0.5740163929810155  |                51 |              0.944444 |             22 |        22488 | 41.0     |           22488 |          41 | 0.9952928877466999 |     3414.59  | 0.32328573440072017 |          | +      |
|          10 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43402911037355646 | 0.007217635304358028  | 0.5553252696990967 | 0.29149233194190916 |                30 |              0.555556 |             31 |    100000000 | 41.0     |       100000000 |          45 | 0.9951583617946462 |     2008.58  | 0.33256996381596343 | *        | +      |
|          19 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4343161564141511  | 0.005868947233235819  | 1.0356526374816895 | 0.5436179818449516  |                31 |              0.574074 |             31 |        22488 | 59.0     |           22488 |          61 | 0.9945006467561905 |     2986.74  | 0.3779979402580341  |          |        |
